artist,song,text,sentimento
ABBA,Dance,"Oh, my love it makes me sad. Why did things turn out so bad? Was it just a dream, everything we did, everything we had? Baby, give me one more Dance while the music still goes on Don't think about tomorrow Dance and forget our time is gone Tonight's a night we borrow. Let's make it a memory, a night of our own A thing to remember when we're all alone So dance, it's our way to say goodbye Yes, all we have to do is Dance while the music still goes on This is no time for crying Dance, don't you hear them play our song God knows that we've been trying But we didn't make it 'cause nothing's the same We just couldn't help it, nobody's to blame So dance while the music still goes on And let it be our last goodbye Yet it seems to make me sad. Why did things turn out so bad? Was is just a dream, everything we did, everything we had? Baby, give me one last Dance while the music still goes on Just like the night I met you Dance and believe me, when you're gone You know I won't forget you Our love was a snowbird, it's flying away You tell me it's over, what more can I say? So dance while the music still goes on It's gonna be our last goodbye Dance while the music still goes on Don't think about tomorrow Dance and forget our time is gone Tonight's a night we borrow. Let's make it a memory, a night of our own A thing to remember when we're all alone So dance while the music still goes on And let it be our last goodbye Dance while the music still goes on This is no time for crying Dance, don't you hear them play our song God knows that we've been trying Dance while the music still goes on Just like the night I met you Dance and believe me, when you're gone You know I won't forget you (fade) ",Negativa
ABBA,Dancing Queen,"You can dance, you can jive, having the time of your life See that girl, watch that scene, diggin' the Dancing Queen Friday night and the lights are low Looking out for the place to go Where they play the right music, getting in the swing You come in to look for a king Anybody could be that guy Night is young and the music's high With a bit of rock music, everything is fine You're in the mood for a dance And when you get the chance You are the Dancing Queen, young and sweet, only seventeen Dancing Queen, feel the beat from the tambourine You can dance, you can jive, having the time of your life See that girl, watch that scene, diggin' the Dancing Queen You're a teaser, you turn 'em on Leave them burning and then you're gone Looking out for another, anyone will do You're in the mood for a dance And when you get the chance You are the Dancing Queen, young and sweet, only seventeen Dancing Queen, feel the beat from the tambourine You can dance, you can jive, having the time of your life See that girl, watch that scene, diggin' the Dancing Queen ",Positiva
ABBA,Disillusion,"Changing, moving in a circle I can see your face in all of my dreams Smiling, laughing from the shadows When I hear your voice, I know what it means I know it doesn't matter just how hard I try You're all the reason for my life Disillusion, disillusion's all you left for me How can I forget you when my world is breaking down You're all I had, you're all I want Disillusion, disillusions, now that's all I have Wishing, hoping, chasing shadows Did I see your face somewhere in the crowd Thinking, wondering what you're doing I can't stop myself from crying out loud They say my wound will heal and only leave a scar But then, they never shared our love Disillusion, disillusion's all you left for me How can I forget you when my world is breaking down You're all I had, you're all I want Disillusion, disillusions, now that's all I have Disillusion, disillusions, now that's all I have ",Negativa
ABBA,Does Your Mother Know,"You're so hot, teasing me So you're blue but I can't take a chance on a chick like you That's something I couldn't do There's that look in your eyes I can read in your face that your feelings are driving you wild Ah, but girl you're only a child Well I can dance with you honey If you think it's funny Does your mother know that you're out? And I can chat with you baby Flirt a little maybe Does your mother know that you're out? Take it easy (take it easy) Better slow down girl That's no way to go Does your mother know? Take it easy (take it easy) Try to cool it girl Take it nice and slow Does your mother know? I can see what you want But you seem pretty young to be searching for that kind of fun So maybe I'm not the one Now you're so cute, I like your style And I know what you mean when you give me a flash of that smile (smile) But girl you're only a child Well I can dance with you honey If you think it's funny Does your mother know that you're out? And I can chat with you baby Flirt a little maybe Does your mother know that you're out? Take it easy (take it easy) Better slow down girl That's no way to go Does your mother know? Take it easy (take it easy) Try to cool it girl Take it nice and slow Does your mother know? Well I can dance with you honey If you think it's funny Does your mother know that you're out? And I can chat with you baby Flirt a little maybe Does your mother know that you're out? ",Positiva
ABBA,Dream World,"Agnetha We're not the stars of a Hollywood movie So what's the use to pretend I'm not so charming and you're not so groovy You've got to face it my friend Agnetha, Frida Dreamworld, you've been living in a dreamworld Trust me, you just can't escape from reality Boy meets girl, doesn't mean they're in a dreamworld Here I am, here you are, We're gonna make it together And within, it's a fuss So we can only get better Agnetha When you reach up and you say to me How I love you, girl When I hold you, baby, can't you see That's the way we whirl You had your hopes and your high expectations Somehow it doesn't seem right I'm getting fed-up with your acquisitions I'm not your angel in white Agnetha, Frida Dreamworld, you've been living in a dreamworld Trust me, you just can't escape from reality Boy meets girl, doesn't mean they're in a dreamworld Here I am, here you are, We're gonna make it together And within, it's a fuss So we can only get better Agnetha When you reach up and you say to me How I love you, girl When I hold you, baby, can't you see That's the way we whirl Agnetha, Frida Dreamworld, you've been living in a dreamworld Trust me, you just can't escape from reality Boy meets girl, doesn't mean they're in a dreamworld Here I am, here you are, We're gonna make it together And within, it's a fuss So we can only get better ",Positiva
ABBA,Dum Dum Diddle,"I can hear how you work, practising hard Playing night and day, wo-oh And it sounds better now, yes you improve Everytime you play, wo-oh But it's bad You're so sad And you're only smiling When you play your violin Dumb dumb diddle, to be your fiddle To be so near you and not just hear you Dumb dumb diddle, to be your fiddle I think then maybe you'd see me, baby You'd be mine And we'd be together all the time Wish I was dumb dumb diddle, your darling fiddle But I think, you don't know that I exist I'm the quiet kind, wo-oh From the day when I first listened to you You've been on my mind, wo-oh You don't care It's not fair And you're only smiling When you play your violin Dumb dumb diddle, to be your fiddle To be so near you and not just hear you Dumb dumb diddle, to be your fiddle I think then maybe you'd see me, baby You'd be mine And we'd be together all the time Dumb dumb diddle, to be your fiddle To be so near you and not just hear you Dumb dumb diddle, to be your fiddle I think then maybe you'd see me, baby You'd be mine And we'd be together all the time Wish I was dumb dumb diddle, your darling find ",Positiva
ABBA,Eagle,"They came flying from far away, now I'm under their spell I love hearing the stories that they tell They've seen places beyond my land and they've found new horizons They speak strangely but I understand And I dream I'm an eagle And I dream I can spread my wings Flying high, high, I'm a bird in the sky I'm an eagle that rides on the breeze High, high, what a feeling to fly Over mountains and forests and seas And to go anywhere that I please As all good friends we talk all night, and we fly wing to wing I have questions and they know everything There's no limit to what I feel, we climb higher and higher Am I dreaming or is it all real? Is it true I'm an eagle? Is it true I can spread my wings? Flying high, high, I'm a bird in the sky (I'm an eagle) I'm an eagle that rides on the breeze High, high, what a feeling to fly (What a feeling) Over mountains and forests and seas And to go anywhere that I please ",Positiva
ABBA,Every Good Man,"Every good man needs a helping hand so I travel alone if I can Every man has a guiding star and he knows what he's gonna get when he's going too far Living on the dark side once again It's sad to lose a friend Looking at things with empty feelings Still we're going on For Every good man needs a helping hand I should have known too Some of us learn too late, I'm sorry Every good man needs a helping hand It's true Every good man needs a helping hand so I travel alone if I can Every man has a guiding star and he knows what he's gonna get when he's going too far Living on the dark side once again It's sad to lose a friend Looking at things with empty feelings Still we're going on For Every good man needs a helping hand I should have known too Some of us learn too late, I'm sorry Every good man needs a helping hand It's true ",Negativa
ABBA,Fernando,"Can you hear the drums Fernando? I remember long ago another starry night like this In the firelight Fernando You were humming to yourself and softly strumming your guitar I could hear the distant drums And sounds of bugle calls were coming from afar They were closer now Fernando Every hour every minute seemed to last eternally I was so afraid Fernando We were young and full of life and none of us prepared to die And I'm not ashamed to say The roar of guns and cannons almost made me cry There was something in the air that night The stars were bright, Fernando They were shining there for you and me For liberty, Fernando Though I never thought that we could lose There's no regret If I had to do the same again I would, my friend, Fernando If I had to do the same again I would, my friend, Fernando Now we're old and grey Fernando And since many years I haven't seen a rifle in your hand Can you hear the drums Fernando? Do you still recall the frightful night we crossed the Rio Grande? I can see it in your eyes How proud you were to fight for freedom in this land (Repeat x2) There was something in the air that night The stars were bright, Fernando They were shining there for you and me For liberty, Fernando Though I never thought that we could lose There's no regret If I had to do the same again I would, my friend, Fernando Yes, if I had to do the same again I would, my friend, Fernando... ",Positiva
ABBA,Fernando (In Spanish),"Puedes escuchar Fernando? Me recuerda tiempo atras Estrellas y una noche alla En la lumbre azul Fernando Tarareabas tu cancion Con ese suave guitarrear Yo podia escuchar Esos tambores con un sordo redoblar Se acercaban mas fernando Y el momento que pasaba Parecia eternidad Y senti temor Fernando Por la vida y juventud Nadie pensaba en morir Y no siento hoy verguenza al Confesar que tuve Ganas de llorar Algo habia alrededor quiza De claridad Fernando Que brillaba por nosotros dos En proteccion Fernando No pensabamos jamas perder Ni echar atras Si tuviera que volverlo a hacer Lo haria ya Fernando Si tuviera que volverlo a hacer Lo haria ya Fernando La vejez llego Fernando Y con ella una paz Que hoy logramos disfrutar Se durmio el tambor Fernando Paraciera que fue ayer Que lo vivimos tu y yo Y en tus ojos veo aun Aquel orgullo que refleja tu valor. Algo habia alrededor quiza De claridad Fernando Que brillaba por nosotros dos En proteccion Fernando No pensabamos jamas perder Ni echar atras Si tuviera que volverlo a hacer Lo haria ya Fernando Si tuviera que volverlo a hacer Lo haria ya Fernando Algo habia alrededor quiza De claridad Fernando Que brillaba por nosotros dos En proteccion Fernando No pensabamos jamas perder Ni echar atras Si tuviera que volverlo a hacer Lo haria ya Fernando Si tuviera que volverlo a hacer Lo haria ya Fernando Si tuviera que volverlo a hacer Lo haria ya Fernando [Repeata y ""fade""] ",Positiva
ABBA,Free As A Bumble Bee,"I'm down and I feel depressed Sitting here just waiting For next bus travelling Downtown It's a crying shame Isn't it The beautiful weather If I could have my way Well, I would not be working On a day like this I know what I'd like to be As free as a bumble bee Take a sip from Every flower Free as a bumble bee While away each lazy hour What a good life Lying laid back Like an old railroad bum by the track What a good life Living outdoors Lie in the grass and chew on a straw ",Negativa
ABBA,From A Twinkling Star To A Passing Angel,"Twinkle, Twinkle little star How I wonder what you are Like a diamond glitt'ring in the sky Seems to me you shine your light Down to me to say goodnight Twinkle, Twinkle my old friend Sleep is waiting round the bend While you travel through the milky way From afar Twinkle, Twinkle, Twinkle little star. Raindrops on a window pane Stillness of a summer rain Silently the haze drifts through the trees Slowly dawn is breaking through Yet a morning without you Curtins rustling in the breeze I'm still trapped within my dreams Daylight makes it's way into my mind Coming through Yet another morning without you. Finally when darkness falls Casting shadows on the walls In the twilight hour I am alone Sitting near the fireplace Dying embers warm my face In this peaceful solitude All the outside world subdued Everything comes backs to me again In the gloom Like an angel passing through my room Mmm, Mmm, Mmm- echoes of a voice I knew Half awake in half in dreams Seeing long forgotten scenes So the present runs into the past Now and then become entwined Playing games within my mind Like the embers as they die Love was one prolonged goodbye And it all comes back to me tonight In the gloom Like an angel passing through my room. I close my eyes And my twilight images go by All too soon Like an angel passing through my room Long awaited darkness falls Casting shadows on the walls In the twilight hour I am alone Sitting near the fireplace Dying embers warms my face In this peaceful solitude All the outside world subdued Everything comes back to me again In the gloom Like an angel passing through my room Half awake and half in dreams Seeing long forgotten scenes So the present runs into the past Now and then become entwined Playing games within my mind Like the embers as they die Love was one prolonged goodbye And it all comes back to me tonight In the gloom Like an angel passing through my room I close my eyes And my twilight images go by All too soon Like an angel passing through my room. ",Negativa
ABBA,Gimme Gimme Gimme,"Half past twelve And I'm watching the late show in my flat all alone How I hate to spend the evening on my own Autumn winds Blowing outside my window as I look around the room And it makes me so depressed to see the gloom There's not a soul out there No-one to hear my prays Gimme gimme gimme a man after midnight Won't somebody help me chase the shadows away Gimme gimme gimme a man after midnight Take me through the darkness to the break of the day Movie stars Find the end of the rainbow, with a fortune to win It's so different from the world I'm living in Tired of T. V. I open the window and I gaze into the night But there's nothing there to see, no one in sight There's not a soul out there No-one to hear my prays Gimme gimme gimme a man after midnight Won't somebody help me chase the shadows away Gimme gimme gimme a man after midnight Take me through the darkness to the break of the day Gimme gimme gimme a man after midnight... Gimme gimme gimme a man after midnight... There's not a soul out there No-one to hear my prays Gimme gimme gimme a man after midnight Won't somebody help me chase the shadows away Gimme gimme gimme a man after midnight Take me through the darkness to the break of the day Gimme gimme gimme a man after midnight Won't somebody help me chase the shadows away Gimme gimme gimme a man after midnight Take me through the darkness to the break of the day ",Negativa
ABBA,Givin' A Little Bit More,There's a gentleness to everything you do And it's rubbing off on me I feel it too I've been waiting but my loneliness I get When you call me on the phone And I'm feeling so alone When you ask me to come over Baby you know I will I could never stay on my own Givin' it all I got to give I've never done that before I'm always givin' a little more When I'm with you Givin' it all I got to give I've never done that before I'm always givin' a little more When I'm with you I'm always givin' a little more When I'm with you Givin' it all I got to give I've never done that before I'm always givin' a little more When I'm with you Givin' it all I got to give I've never done that before I'm always givin' a little more ,Positiva
ABBA,Gonna Sing You My Lovesong,"You say she's been mad at you Then you say you'll be patient, ooh Still I see that she makes you blue Come on, I'll give you consolation Gonna sing you my love song, gonna bring you some light Gonna make you feel happy every day of your life Gonna sing you my love song, gonna make it all right You're all I ever need, my darling Just to be where you want to be So much fun we could have then, hmm To be close for eternity What a miracle to happen Gonna sing you my love song, gonna sing it for you Gonna give you sweet loving, gonna give myself too Gonna sing you my love song, when I think about you I know she doesn't make it easy 'Cause you don't please her like you please me You're my life, you're my angel You're my first, you're my last Would she care if you lingered For another night Want to hold you tight We could make it right Gonna sing you my love song, gonna bring you some light Gonna make you feel happy every day of your life Gonna sing you my love song, gonna make it all right I know she doesn't make it easy Gonna sing you my love song, gonna sing it for you Gonna give you sweet loving, gonna give myself too Gonna sing you my love song, when I think about you You're all I ever need, my darling And I would love to sing my love song For you ",Positiva
ABBA,Hamlet III,"When the autumn leaves are falling to the ground When the air gets cold then I think of us Of you and I And it almost makes me cry So sad and kind of bitter sweet And the memories filled with tears And I feel my heart will break Guess it all was my mistake Autumn's chilly winds were blowing through the trees The rain fell softly on your face Oh I remember every little thing about that day I remember every place Grey skies, you were laughing at the clouds The rain fell softly on your face The memories of our time together cannot be replaced I never loved you more than on those happy autumn days ",Negativa
ABBA,Happy Hawaii,"Agnetha, Frida Early this morning I drove in the rain Out to the airport to get on the plain Hey Honolulu, I'm going to happy Hawaii Alice has been there, she said it was fun Swimming and surfing, enjoying the sun Hey Honolulu, I'm going to happy Hawaii After all I had to go through, I'm making no plans But I, but I believe love gives me a second chance Guess I've been working a little to hard Need a vacation, I'll send you a card From Honolulu, a greeting from happy Hawaii It's so exciting, why should I pretend In a few hours the plane will descend Hey Honolulu, I'm going to happy Hawaii I can imagine the beach and the sand Walking with someone and holding his hand Hey Honolulu, I'm going to happy Hawaii After all I had to go through, I'm making no plans But I, but I believe love gives me a second chance I've got a feeling, the dream will come true Someone is waiting and I forget you Hey Honolulu, I'm going to happy Hawaii ",Positiva
ABBA,Happy New Year,"No more champagne And the fireworks are through Here we are, me and you Feeling lost and feeling blue It's the end of the party And the morning seems so grey So unlike yesterday Now's the time for us to say Happy New Year Happy New Year May we all have a vision now and then Of a world where every neighbor is a friend Happy New Year Happy New Year May we all have our hopes, our will to try If we don't we might as well lay down and die You and I Sometimes I see How the brave new world arrives And I see how it thrives In the ashes of our lives Oh yes, man is a fool And he thinks he'll be okay Dragging on, feet of clay Never knowing he's astray Keeps on going anyway Happy New Year Happy New Year May we all have a vision now and then Of a world where every neighbor is a friend Happy New Year Happy New Year May we all have our hopes, our will to try If we don't we might as well lay down and die You and I Seems to me now That the dreams we had before Are all dead, nothing more Than confetti on the floor It's the end of a decade In another ten years time Who can say what we'll find What lies waiting down the line In the end of eighty-nine Happy New Year Happy New Year May we all have a vision now and then Of a world where every neighbor is a friend Happy New Year Happy New Year May we all have our hopes, our will to try If we don't we might as well lay down and die You and I ",Negativa
ABBA,He Is Your Brother,"Benny I was a fighter, always looking for trouble And my life was so empty, there was nothing to live for But then it happened one night As I got into a fight I could hear someone saying As though he was praying Treat him well, he is your brother You might need his help one day We depend one one another Love him, that's the only way On the road That we're going We all need Words of comfort and compassion Treat him well, he is your brother Love him, that's the only way I was a woman, never thinking of others And my life was so lonely, didn't care for anybody But then I happened to meet A begging man in the street As I turned down his praying I heard someone saying Treat him well, he is your brother You might need his help one day We depend one one another Love him, that's the only way On the road That we're going We all need Words of comfort and compassion Treat him well, he is your brother Love him, that's the only way Treat him well, he is your brother You might need his help one day We depend one one another Love him, that's the only way Treat him well, he is your brother You might need his help one day We depend one one another Love him, that's the only way ",Positiva
ABBA,Head Over Heels,I have a very good friend The kind of girl who likes to follow a trend She has a personal style Some people love it others tend to go wild You hear her voice everywhere Taking the chair She's a leading lady And with no trace of hesitation she keeps going Head over heels Breaking her way Pushing through unknown jungles every day She's a girl with a taste for the world (The world is like a playing ground where she goes rushing) Head over heels Setting the pace Running the gauntlet in a whirl of lace She's extreme if you know what I mean Her man is one I admire He's so courageous but he's constantly tired Each time when he speaks his mind She pats his head and says that's all very fine Exert that will of your own When you're alone Now we better hurry And with no trace of hesitation she keeps going Head over heels Breaking her way Pushing through unknown jungles every day She's a girl with a taste for the world (The world is like a playing ground where she goes rushing) Head over heels Setting the pace Running the gauntlet in a whirl of lace She's extreme if you know what I mean You hear her voice everywhere Taking the chair She's a leading lady And with no trace of hesitation she keeps going Head over heels Breaking her way Pushing through unknown jungles every day She's a girl with a taste for the world (The world is like a playing ground where she goes rushing) Head over heels Setting the pace Running the gauntlet in a whirl of lace She's extreme if you know what I mean (She's just one of those who always has to do whatever she please) And she goes Head over heels ,Positiva
ABBA,Here We'll Stay,"Love, love is a dream We were like two young strands of driftwood Caught up in a stream We were destined for each other From our very first hello We came bustin' through that river dam And made that river flow We will sail upon the ocean Til the shoreline meets the sky Carried on the first trade wind That favours you and I We have both of us between us Known misfortune in our days Darling this time, we're on our way 'Cause we're here And here we'll stay We will never throw this love of ours away We are here And here we'll stay We will never throw this love of ours away Life, oh life is a chance We were the only two who spun the wheel And never scored romance If we'd stayed to play for fortune We'd have broke the banks of gold We'd have taken old Las Vegas For every cent that she could hold Love like ours was made in heaven It was blessed by Lord above We will spend our lives together Forever hand in glove We have both of us between us Known misfortune in our days Darling this time, we're on our way 'Cause we're here And here we'll stay We won't ever throw this love of ours away We are here And here we'll stay We won't ever throw this love of ours away 'Cause we're here And here we'll stay We will never throw this love of ours away We are here Here we'll stay We will never throw this love of ours away 'Cause we're here And here we'll stay We will never throw this love of ours away So we are here And here we'll stay We will never throw this love of ours away... ",Positiva
ABBA,Hey Hey Helen,"So at last you're free It's the way you wanted it to be And the price you paid To become a woman of today Is it worth the pain to see the children cry Does it hurt when they ask for Daddy Hey hey Helen Now you live on your own Hey hey Helen Can you make it alone (Yes you can) So you're free at last And beginning to forget the past Does it make you sad When you think about the life you ha-ha-had But you're right, you had to take a second chance So you fight to find your freedom Hey hey Helen Now you live on your own Hey hey Helen Can you make it alone Hey hey Helen (hey hey Helen) What's the matter with you Hey hey Helen (hey hey Helen) Don't you know what to do (Yes you do) (Yes you do yes you do) (Yes you do yes you do) Hey hey Helen Now you live on your own Hey hey Helen Can you make it alone Hey hey Helen (hey hey Helen) What's the matter with you Hey hey Helen (hey hey Helen) Don't you know what to do Hey hey Helen (hey hey Helen) Now you live on your own Hey hey Helen (hey hey Helen) ",Positiva
